district,region,pcode,year,month,cdi
Adan Yabaal,Middle Shabelle,2102,2013,1,
Adan Yabaal,Middle Shabelle,2102,2013,2,
Adan Yabaal,Middle Shabelle,2102,2013,3,
Adan Yabaal,Middle Shabelle,2102,2013,4,
Adan Yabaal,Middle Shabelle,2102,2013,5,
Adan Yabaal,Middle Shabelle,2102,2013,6,
Adan Yabaal,Middle Shabelle,2102,2013,7,
Adan Yabaal,Middle Shabelle,2102,2013,8,
Adan Yabaal,Middle Shabelle,2102,2013,9,
Adan Yabaal,Middle Shabelle,2102,2013,10,
Adan Yabaal,Middle Shabelle,2102,2013,11,
Adan Yabaal,Middle Shabelle,2102,2013,12,
Adan Yabaal,Middle Shabelle,2102,2014,1,
Adan Yabaal,Middle Shabelle,2102,2014,2,
Adan Yabaal,Middle Shabelle,2102,2014,3,
Adan Yabaal,Middle Shabelle,2102,2014,4,
Adan Yabaal,Middle Shabelle,2102,2014,5,
Adan Yabaal,Middle Shabelle,2102,2014,6,
Adan Yabaal,Middle Shabelle,2102,2014,7,
Adan Yabaal,Middle Shabelle,2102,2014,8,
Adan Yabaal,Middle Shabelle,2102,2014,9,
Adan Yabaal,Middle Shabelle,2102,2014,10,
Adan Yabaal,Middle Shabelle,2102,2014,11,
Adan Yabaal,Middle Shabelle,2102,2014,12,
Adan Yabaal,Middle Shabelle,2102,2015,1,0.77
Adan Yabaal,Middle Shabelle,2102,2015,2,0.72
Adan Yabaal,Middle Shabelle,2102,2015,3,0.62
Adan Yabaal,Middle Shabelle,2102,2015,4,1.22
Adan Yabaal,Middle Shabelle,2102,2015,5,1.29
Adan Yabaal,Middle Shabelle,2102,2015,6,1.15
Adan Yabaal,Middle Shabelle,2102,2015,7,0.86
Adan Yabaal,Middle Shabelle,2102,2015,8,0.85
Adan Yabaal,Middle Shabelle,2102,2015,9,0.79
Adan Yabaal,Middle Shabelle,2102,2015,10,0.8
Adan Yabaal,Middle Shabelle,2102,2015,11,1.14
Adan Yabaal,Middle Shabelle,2102,2015,12,1.15
Adan Yabaal,Middle Shabelle,2102,2016,1,1.12
Adan Yabaal,Middle Shabelle,2102,2016,2,0.99
Adan Yabaal,Middle Shabelle,2102,2016,3,0.94
Adan Yabaal,Middle Shabelle,2102,2016,4,0.53
Adan Yabaal,Middle Shabelle,2102,2016,5,0.57
Adan Yabaal,Middle Shabelle,2102,2016,6,0.73
Adan Yabaal,Middle Shabelle,2102,2016,7,0.66
Adan Yabaal,Middle Shabelle,2102,2016,8,0.52
Adan Yabaal,Middle Shabelle,2102,2016,9,0.56
Adan Yabaal,Middle Shabelle,2102,2016,10,0.57
Adan Yabaal,Middle Shabelle,2102,2016,11,0.37
Adan Yabaal,Middle Shabelle,2102,2016,12,0.29
Adan Yabaal,Middle Shabelle,2102,2017,1,0.31
Adan Yabaal,Middle Shabelle,2102,2017,2,0.42
Adan Yabaal,Middle Shabelle,2102,2017,3,0.38
Adan Yabaal,Middle Shabelle,2102,2017,4,0.44
Adan Yabaal,Middle Shabelle,2102,2017,5,0.45
Adan Yabaal,Middle Shabelle,2102,2017,6,0.48
Adan Yabaal,Middle Shabelle,2102,2017,7,0.53
Adan Yabaal,Middle Shabelle,2102,2017,8,0.75
Adan Yabaal,Middle Shabelle,2102,2017,9,0.9
Adan Yabaal,Middle Shabelle,2102,2017,10,0.73
Adan Yabaal,Middle Shabelle,2102,2017,11,0.88
Adan Yabaal,Middle Shabelle,2102,2017,12,0.91
Adan Yabaal,Middle Shabelle,2102,2018,1,0.87
Adan Yabaal,Middle Shabelle,2102,2018,2,0.76
Adan Yabaal,Middle Shabelle,2102,2018,3,1.11
Adan Yabaal,Middle Shabelle,2102,2018,4,2.03
Adan Yabaal,Middle Shabelle,2102,2018,5,2.12
Adan Yabaal,Middle Shabelle,2102,2018,6,1.97
Adan Yabaal,Middle Shabelle,2102,2018,7,2.01
Adan Yabaal,Middle Shabelle,2102,2018,8,1.9
Adan Yabaal,Middle Shabelle,2102,2018,9,1.85
Adan Yabaal,Middle Shabelle,2102,2018,10,1.11
Adan Yabaal,Middle Shabelle,2102,2018,11,0.89
Adan Yabaal,Middle Shabelle,2102,2018,12,0.97
Adan Yabaal,Middle Shabelle,2102,2019,1,0.96
Adan Yabaal,Middle Shabelle,2102,2019,2,0.89
Adan Yabaal,Middle Shabelle,2102,2019,3,0.99
Adan Yabaal,Middle Shabelle,2102,2019,4,0.96
Adan Yabaal,Middle Shabelle,2102,2019,5,1.23
Adan Yabaal,Middle Shabelle,2102,2019,6,1.3
Adan Yabaal,Middle Shabelle,2102,2019,7,1.83
Adan Yabaal,Middle Shabelle,2102,2019,8,1.88
Adan Yabaal,Middle Shabelle,2102,2019,9,1.33
Adan Yabaal,Middle Shabelle,2102,2019,10,2.35
Adan Yabaal,Middle Shabelle,2102,2019,11,3
Adan Yabaal,Middle Shabelle,2102,2019,12,3.31
Adan Yabaal,Middle Shabelle,2102,2020,1,3.44
Adan Yabaal,Middle Shabelle,2102,2020,2,3.93
Adan Yabaal,Middle Shabelle,2102,2020,3,5.13
Adan Yabaal,Middle Shabelle,2102,2020,4,2.99
Adan Yabaal,Middle Shabelle,2102,2020,5,1.62
Adan Yabaal,Middle Shabelle,2102,2020,6,1.63
Adan Yabaal,Middle Shabelle,2102,2020,7,2.58
Adan Yabaal,Middle Shabelle,2102,2020,8,2.98
Adan Yabaal,Middle Shabelle,2102,2020,9,1.92
Adan Yabaal,Middle Shabelle,2102,2020,10,2.51
Adan Yabaal,Middle Shabelle,2102,2020,11,2.52
Adan Yabaal,Middle Shabelle,2102,2020,12,2.85
Adan Yabaal,Middle Shabelle,2102,2021,1,2.47
Adan Yabaal,Middle Shabelle,2102,2021,2,2.34
Adan Yabaal,Middle Shabelle,2102,2021,3,2.37
Adan Yabaal,Middle Shabelle,2102,2021,4,0.93
Adan Yabaal,Middle Shabelle,2102,2021,5,0.83
Adan Yabaal,Middle Shabelle,2102,2021,6,0.78
Adan Yabaal,Middle Shabelle,2102,2021,7,0.9
Adan Yabaal,Middle Shabelle,2102,2021,8,0.91
Adan Yabaal,Middle Shabelle,2102,2021,9,0.72
Adan Yabaal,Middle Shabelle,2102,2021,10,0.55
Adan Yabaal,Middle Shabelle,2102,2021,11,0.42
Adan Yabaal,Middle Shabelle,2102,2021,12,0.36
Adan Yabaal,Middle Shabelle,2102,2022,1,0.26
Adan Yabaal,Middle Shabelle,2102,2022,2,0.32
Adan Yabaal,Middle Shabelle,2102,2022,3,0.38
