district,y,m,pop
Adan Yabaal,2013,1,77072
Afgooye,2013,1,382465
Afmadow,2013,1,153276
Baardheere,2013,1,148992
Badhaadhe,2013,1,70706
Baki,2013,1,61721
Balcad,2013,1,183345
Banadir,2013,1,1622745
Bandarbeyla,2013,1,28846
Baraawe,2013,1,82302
Baydhaba,2013,1,380670
Belet Weyne,2013,1,248499
Belet Xaawo,2013,1,80821
Berbera,2013,1,142902
Borama,2013,1,659245
Bossaso,2013,1,365701
Bu'aale,2013,1,90289
Bulo Burto,2013,1,150908
Burco,2013,1,415182
Burtinle,2013,1,77621
Buuhoodle,2013,1,62363
Buur Hakaba,2013,1,145030
Cabudwaaq,2013,1,88643
Cadaado,2013,1,82889
Cadale,2013,1,67572
Caluula,2013,1,47168
Caynabo,2013,1,70452
Ceel Afweyn,2013,1,83050
Ceel Barde,2013,1,52867
Ceel Buur,2013,1,97586
Ceel Dheer,2013,1,98061
Ceel Waaq,2013,1,46447
Ceerigaabo,2013,1,200203
Dhuusamarreeb,2013,1,122242
Diinsoor,2013,1,133957
Doolow,2013,1,50664
Eyl,2013,1,75614
Gaalkacyo,2013,1,368458
Galdogob,2013,1,153053
Garbahaarey,2013,1,114712
Garoowe,2013,1,179877
Gebiley,2013,1,129434
Hargeysa,2013,1,986286
Hobyo,2013,1,94001
Iskushuban,2013,1,70884
Jalalaqsi,2013,1,83871
Jamaame,2013,1,147034
Jariiban,2013,1,88850
Jilib,2013,1,148016
Jowhar,2013,1,292557
Kismaayo,2013,1,164212
Kurtunwaarey,2013,1,196624
Laas Caanood,2013,1,147820
Laasqoray,2013,1,184134
Lughaye,2013,1,66342
Luuq,2013,1,85548
Marka,2013,1,350237
Owdweyne,2013,1,84538
Qandala,2013,1,130498
Qansax Dheere,2013,1,111326
Qardho,2013,1,158929
Qoryooley,2013,1,256506
Rab Dhuure,2013,1,55638
Saakow,2013,1,105538
Sablaale,2013,1,58155
Sheikh,2013,1,74941
Taleex,2013,1,74031
Tayeeglow,2013,1,90585
Waajid,2013,1,87459
Wanla Weyn,2013,1,206602
Xarardheere,2013,1,79873
Xudun,2013,1,63033
Xudur,2013,1,117287
Zeylac,2013,1,59497
Adan Yabaal,2013,2,77198
Afgooye,2013,2,383090
Afmadow,2013,2,153527
Baardheere,2013,2,149235
Badhaadhe,2013,2,70822
Baki,2013,2,61822
Balcad,2013,2,183644
Banadir,2013,2,1625396
Bandarbeyla,2013,2,28893
Baraawe,2013,2,82436
Baydhaba,2013,2,381291
Belet Weyne,2013,2,248905
Belet Xaawo,2013,2,80953
Berbera,2013,2,143135
Borama,2013,2,660322
Bossaso,2013,2,366298
Bu'aale,2013,2,90436
Bulo Burto,2013,2,151154
Burco,2013,2,415860
Burtinle,2013,2,77748
Buuhoodle,2013,2,62465
Buur Hakaba,2013,2,145267
Cabudwaaq,2013,2,88787
Cadaado,2013,2,83025
Cadale,2013,2,67682
Caluula,2013,2,47245
Caynabo,2013,2,70567
Ceel Afweyn,2013,2,83185
Ceel Barde,2013,2,52953
Ceel Buur,2013,2,97745
Ceel Dheer,2013,2,98221
Ceel Waaq,2013,2,46523
Ceerigaabo,2013,2,200530
Dhuusamarreeb,2013,2,122442
Diinsoor,2013,2,134176
Doolow,2013,2,50747
Eyl,2013,2,75737
Gaalkacyo,2013,2,369059
Galdogob,2013,2,153303
Garbahaarey,2013,2,114899
Garoowe,2013,2,180171
Gebiley,2013,2,129645
Hargeysa,2013,2,987897
Hobyo,2013,2,94155
Iskushuban,2013,2,71000
Jalalaqsi,2013,2,84008
Jamaame,2013,2,147274
Jariiban,2013,2,88995
Jilib,2013,2,148258
Jowhar,2013,2,293035
Kismaayo,2013,2,164480
Kurtunwaarey,2013,2,196945
Laas Caanood,2013,2,148061
Laasqoray,2013,2,184435
Lughaye,2013,2,66451
Luuq,2013,2,85688
Marka,2013,2,350809
Owdweyne,2013,2,84677
Qandala,2013,2,130711
Qansax Dheere,2013,2,111508
Qardho,2013,2,159189
Qoryooley,2013,2,256925
Rab Dhuure,2013,2,55729
Saakow,2013,2,105710
Sablaale,2013,2,58249
Sheikh,2013,2,75063
Taleex,2013,2,74152
Tayeeglow,2013,2,90733
Waajid,2013,2,87602
Wanla Weyn,2013,2,206940
Xarardheere,2013,2,80004
Xudun,2013,2,63136
Xudur,2013,2,117479
Zeylac,2013,2,59594
Adan Yabaal,2013,3,77324
Afgooye,2013,3,383715
Afmadow,2013,3,153777
Baardheere,2013,3,149478
Badhaadhe,2013,3,70938
Baki,2013,3,61923
Balcad,2013,3,183944
Banadir,2013,3,1628051
Bandarbeyla,2013,3,28941
Baraawe,2013,3,82571
Baydhaba,2013,3,381914
Belet Weyne,2013,3,249312
Belet Xaawo,2013,3,81085
Berbera,2013,3,143369
Borama,2013,3,661400
Bossaso,2013,3,366896
Bu'aale,2013,3,90584
Bulo Burto,2013,3,151401
Burco,2013,3,416539
Burtinle,2013,3,77875
Buuhoodle,2013,3,62567
Buur Hakaba,2013,3,145504
Cabudwaaq,2013,3,88932
Cadaado,2013,3,83160
Cadale,2013,3,67793
Caluula,2013,3,47322
Caynabo,2013,3,70682
Ceel Afweyn,2013,3,83321
Ceel Barde,2013,3,53040
Ceel Buur,2013,3,97904
Ceel Dheer,2013,3,98381
Ceel Waaq,2013,3,46599
